subj,loc,canonical_loc,source,source_tag,is_tag,is_universal,is_existing,is_alias,costume
CEO,aquarium,aquarium,universal,,0,1,0,0,office_lady
CEO,art_gallery,art_gallery,universal,,0,1,0,0,office_lady
CEO,luxury_bathroom,bedroom_boudoir,tag:luxury,luxury,1,0,0,1,office_lady
CEO,boardroom,boardroom,existing,,0,0,1,1,office_lady
CEO,botanical_garden,botanical_garden,universal,,0,1,0,0,office_lady
CEO,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,office_lady
CEO,commuter_transport,commuter_transport,universal,,0,1,0,0,office_lady
CEO,cozy_bookstore,cozy_bookstore,universal,,0,1,0,0,office_lady
CEO,cozy_living_room,cozy_living_room,universal,,0,1,0,0,office_lady
CEO,illuminated_park,illuminated_park,universal,,0,1,0,0,office_lady
CEO,messy_copy_room,messy_copy_room,tag:office,office,1,0,0,0,office_lady
CEO,messy_kitchen,messy_kitchen,universal,,0,1,0,0,office_lady
CEO,modern_office,modern_office,tag:office,office,1,0,0,0,office_lady
CEO,museum_hall,museum_hall,universal,,0,1,0,0,office_lady
CEO,office_elevator,office_elevator,tag:office,office,1,0,0,0,office_lady
CEO,picnic_park,picnic_park,universal,,0,1,0,0,office_lady
CEO,rainy_bus_stop,rainy_alley,universal,,0,1,0,1,office_lady
CEO,school_library,school_library,universal,,0,1,0,0,office_lady
CEO,shopping_mall_atrium,shopping_mall_atrium,universal,,0,1,0,0,office_lady
CEO,elegant_dining_room,street_cafe,tag:luxury,luxury,1,0,0,1,office_lady
CEO,surveillance_room,surveillance_room,tag:office,office,1,0,0,0,office_lady
CEO,winter_street,winter_street,universal,,0,1,0,0,office_lady
afternoon reader,aquarium,aquarium,universal,,0,1,0,0,cozy_cafe
afternoon reader,art_gallery,art_gallery,universal,,0,1,0,0,cozy_cafe
afternoon reader,bedroom_boudoir,bedroom_boudoir,universal,,0,1,0,0,cozy_cafe
afternoon reader,botanical_garden,botanical_garden,universal,,0,1,0,0,cozy_cafe
afternoon reader,clean_modern_kitchen,clean_modern_kitchen,universal,,0,1,0,0,cozy_cafe
afternoon reader,commuter_transport,commuter_transport,universal,,0,1,0,0,cozy_cafe
afternoon reader,cozy_bookstore,cozy_bookstore,existing,,0,0,1,1,cozy_cafe
